BRCD,BRANCH,CIRCLE,NETWORK,MOD NO,MODULE,REG NO,BGL,BGLDESC,BALANCE,BM_MOBILE
755,TIRUPPAPULIYUR (CUDDALORE)              ,CHENNAI,3,32,SALEM,3,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,533000,
755,TIRUPPAPULIYUR (CUDDALORE)              ,CHENNAI,3,32,SALEM,3,2399775,INTER BRANCH TRANSFER CREDIT (NDTL),282498,
756,AGRI COMM BRANCH PARAMAGUDI             ,CHENNAI,2,22,TRICHY,3,98731,SUSPENSE - OTHERS,-21509,
756,AGRI COMM BRANCH PARAMAGUDI             ,CHENNAI,2,22,TRICHY,3,98728,SUSPENSE - ADHOC PAYMENTS,-8000,
756,AGRI COMM BRANCH PARAMAGUDI             ,CHENNAI,2,22,TRICHY,3,4597998,INB MISCELLANEOUS DEBIT IMPS,-200,
756,AGRI COMM BRANCH PARAMAGUDI             ,CHENNAI,2,22,TRICHY,3,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,5000,
756,AGRI COMM BRANCH PARAMAGUDI             ,CHENNAI,2,22,TRICHY,3,4597997,INB MISCELLANEOUS CREDIT IMPS,2999,
756,AGRI COMM BRANCH PARAMAGUDI             ,CHENNAI,2,22,TRICHY,3,98656,SUSP - SC CONTRA AC,251836,
756,AGRI COMM BRANCH PARAMAGUDI             ,CHENNAI,2,22,TRICHY,3,98655,SUSP - SC CONTRA AC,-251836,
756,AGRI COMM BRANCH PARAMAGUDI             ,CHENNAI,2,22,TRICHY,3,98602,INTER OFFICE INSTRUMENTS AC,-286681207,
756,AGRI COMM BRANCH PARAMAGUDI             ,CHENNAI,2,22,TRICHY,3,3199492,INTER OFFICE INSTRUMENTS AC - NEW,4896747.26,
756,AGRI COMM BRANCH PARAMAGUDI             ,CHENNAI,2,22,TRICHY,3,98581,ATM CASH DISB-CUST AC NOT DEBITED,-7023.6,
756,AGRI COMM BRANCH PARAMAGUDI             ,CHENNAI,2,22,TRICHY,3,3199844,ATM EXCESS CASH ACCOUNT,24100,
756,AGRI COMM BRANCH PARAMAGUDI             ,CHENNAI,2,22,TRICHY,3,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,71700,
756,AGRI COMM BRANCH PARAMAGUDI             ,CHENNAI,2,22,TRICHY,3,98751,SUNDRY DEPOSITS-OTHERS,53028,
758,AGRI COMM BRANCH GINGEE                 ,CHENNAI,3,32,SALEM,2,98731,SUSPENSE - OTHERS,-266458.44,
758,AGRI COMM BRANCH GINGEE                 ,CHENNAI,3,32,SALEM,2,4898587,Diff in parking ac with INB facility,5000,
758,AGRI COMM BRANCH GINGEE                 ,CHENNAI,3,32,SALEM,2,98602,INTER OFFICE INSTRUMENTS AC,-11673175.28,
758,AGRI COMM BRANCH GINGEE                 ,CHENNAI,3,32,SALEM,2,3199492,INTER OFFICE INSTRUMENTS AC - NEW,15475624.8,
758,AGRI COMM BRANCH GINGEE                 ,CHENNAI,3,32,SALEM,2,98581,ATM CASH DISB-CUST AC NOT DEBITED,-1042.85,
758,AGRI COMM BRANCH GINGEE                 ,CHENNAI,3,32,SALEM,2,3199304,SUNDRY DEPOSIT NEFT-GRPT FAILED TX,6800,
758,AGRI COMM BRANCH GINGEE                 ,CHENNAI,3,32,SALEM,2,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,100,
759,AVANASHI                                ,CHENNAI,3,31,COIMBATORE,4,98731,SUSPENSE - OTHERS,-259019.04,
759,AVANASHI                                ,CHENNAI,3,31,COIMBATORE,4,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,745,
759,AVANASHI                                ,CHENNAI,3,31,COIMBATORE,4,4898587,Diff in parking ac with INB facility,117197,
759,AVANASHI                                ,CHENNAI,3,31,COIMBATORE,4,98602,INTER OFFICE INSTRUMENTS AC,327245262.7,
759,AVANASHI                                ,CHENNAI,3,31,COIMBATORE,4,3199492,INTER OFFICE INSTRUMENTS AC - NEW,13282619.04,
759,AVANASHI                                ,CHENNAI,3,31,COIMBATORE,4,98581,ATM CASH DISB-CUST AC NOT DEBITED,-6700,
759,AVANASHI                                ,CHENNAI,3,31,COIMBATORE,4,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,5300,
764,UTHAMAPALAYAM                           ,CHENNAI,2,21,MADURAI,4,98731,SUSPENSE - OTHERS,-6300,
764,UTHAMAPALAYAM                           ,CHENNAI,2,21,MADURAI,4,98655,SUSP - SC CONTRA AC,-229000,
764,UTHAMAPALAYAM                           ,CHENNAI,2,21,MADURAI,4,98656,SUSP - SC CONTRA AC,229000,
764,UTHAMAPALAYAM                           ,CHENNAI,2,21,MADURAI,4,98602,INTER OFFICE INSTRUMENTS AC,-42661885.26,
764,UTHAMAPALAYAM                           ,CHENNAI,2,21,MADURAI,4,3199492,INTER OFFICE INSTRUMENTS AC - NEW,2103949.23,
764,UTHAMAPALAYAM                           ,CHENNAI,2,21,MADURAI,4,3199844,ATM EXCESS CASH ACCOUNT,65500,
764,UTHAMAPALAYAM                           ,CHENNAI,2,21,MADURAI,4,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,109164.6,
765,AGRI COMM BRANCH TURAIYUR               ,CHENNAI,2,22,TRICHY,1,98602,INTER OFFICE INSTRUMENTS AC,204457398.6,
765,AGRI COMM BRANCH TURAIYUR               ,CHENNAI,2,22,TRICHY,1,3199492,INTER OFFICE INSTRUMENTS AC - NEW,8066816.81,
765,AGRI COMM BRANCH TURAIYUR               ,CHENNAI,2,22,TRICHY,1,98731,SUSPENSE - OTHERS,-287551.71,
765,AGRI COMM BRANCH TURAIYUR               ,CHENNAI,2,22,TRICHY,1,4597997,INB MISCELLANEOUS CREDIT IMPS,500,
765,AGRI COMM BRANCH TURAIYUR               ,CHENNAI,2,22,TRICHY,1,2399778,INTER BRANCH TRANSFER-SUSPENSE,-5706,
765,AGRI COMM BRANCH TURAIYUR               ,CHENNAI,2,22,TRICHY,1,98581,ATM CASH DISB-CUST AC NOT DEBITED,-31500,
765,AGRI COMM BRANCH TURAIYUR               ,CHENNAI,2,22,TRICHY,1,3199844,ATM EXCESS CASH ACCOUNT,92500,
765,AGRI COMM BRANCH TURAIYUR               ,CHENNAI,2,22,TRICHY,1,98751,SUNDRY DEPOSITS-OTHERS,1238101.31,
765,AGRI COMM BRANCH TURAIYUR               ,CHENNAI,2,22,TRICHY,1,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,130600,
765,AGRI COMM BRANCH TURAIYUR               ,CHENNAI,2,22,TRICHY,1,4897932,INWARD SUBSIDY REMIT - NEFT/RTGS,809206,
765,AGRI COMM BRANCH TURAIYUR               ,CHENNAI,2,22,TRICHY,1,98749,SD- DISPUTED OR COURT CASES,1030000,
768,TIRUNELVELI TOWN                        ,CHENNAI,2,21,MADURAI,3,98728,SUSPENSE - ADHOC PAYMENTS,-646451.69,
768,TIRUNELVELI TOWN                        ,CHENNAI,2,21,MADURAI,3,98731,SUSPENSE - OTHERS,-329551.84,
768,TIRUNELVELI TOWN                        ,CHENNAI,2,21,MADURAI,3,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,8566,
768,TIRUNELVELI TOWN                        ,CHENNAI,2,21,MADURAI,3,4898587,Diff in parking ac with INB facility,62863,
768,TIRUNELVELI TOWN                        ,CHENNAI,2,21,MADURAI,3,98602,INTER OFFICE INSTRUMENTS AC,327740891,
768,TIRUNELVELI TOWN                        ,CHENNAI,2,21,MADURAI,3,3199492,INTER OFFICE INSTRUMENTS AC - NEW,13654477.47,
768,TIRUNELVELI TOWN                        ,CHENNAI,2,21,MADURAI,3,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,91000,
768,TIRUNELVELI TOWN                        ,CHENNAI,2,21,MADURAI,3,4897932,INWARD SUBSIDY REMIT - NEFT/RTGS,140625,
768,TIRUNELVELI TOWN                        ,CHENNAI,2,21,MADURAI,3,98751,SUNDRY DEPOSITS-OTHERS,521500,
768,TIRUNELVELI TOWN                        ,CHENNAI,2,21,MADURAI,3,2399776,INTER BRANCH TRANSFER DEBIT (NDTL),-102576.78,
774,SRIPERUMBUDUR                           ,CHENNAI,1,12,CHENNAI SOUTH,4,3199844,ATM EXCESS CASH ACCOUNT,9100,
774,SRIPERUMBUDUR                           ,CHENNAI,1,12,CHENNAI SOUTH,4,98751,SUNDRY DEPOSITS-OTHERS,46.41,
774,SRIPERUMBUDUR                           ,CHENNAI,1,12,CHENNAI SOUTH,4,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,206400,
774,SRIPERUMBUDUR                           ,CHENNAI,1,12,CHENNAI SOUTH,4,4897932,INWARD SUBSIDY REMIT - NEFT/RTGS,730000,
774,SRIPERUMBUDUR                           ,CHENNAI,1,12,CHENNAI SOUTH,4,98731,SUSPENSE - OTHERS,-1515428,
774,SRIPERUMBUDUR                           ,CHENNAI,1,12,CHENNAI SOUTH,4,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,193100,
774,SRIPERUMBUDUR                           ,CHENNAI,1,12,CHENNAI SOUTH,4,98602,INTER OFFICE INSTRUMENTS AC,690127047.7,
774,SRIPERUMBUDUR                           ,CHENNAI,1,12,CHENNAI SOUTH,4,3199492,INTER OFFICE INSTRUMENTS AC - NEW,14548039.92,
774,SRIPERUMBUDUR                           ,CHENNAI,1,12,CHENNAI SOUTH,4,2399869,TRICKLE FEED REJECTED DEBIT AC,-120,
774,SRIPERUMBUDUR                           ,CHENNAI,1,12,CHENNAI SOUTH,4,98581,ATM CASH DISB-CUST AC NOT DEBITED,-10007.15,
775,WALAJAPET                               ,CHENNAI,1,11,CHENNAI NORTH,4,98731,SUSPENSE - OTHERS,-2351200.39,
775,WALAJAPET                               ,CHENNAI,1,11,CHENNAI NORTH,4,98728,SUSPENSE - ADHOC PAYMENTS,-1006799,
775,WALAJAPET                               ,CHENNAI,1,11,CHENNAI NORTH,4,98656,SUSP - SC CONTRA AC,59086,
775,WALAJAPET                               ,CHENNAI,1,11,CHENNAI NORTH,4,98655,SUSP - SC CONTRA AC,-59086,
775,WALAJAPET                               ,CHENNAI,1,11,CHENNAI NORTH,4,4898587,Diff in parking ac with INB facility,3413000,
775,WALAJAPET                               ,CHENNAI,1,11,CHENNAI NORTH,4,98602,INTER OFFICE INSTRUMENTS AC,269817152.4,
775,WALAJAPET                               ,CHENNAI,1,11,CHENNAI NORTH,4,3199492,INTER OFFICE INSTRUMENTS AC - NEW,8108758.58,
775,WALAJAPET                               ,CHENNAI,1,11,CHENNAI NORTH,4,98581,ATM CASH DISB-CUST AC NOT DEBITED,-24205.32,
775,WALAJAPET                               ,CHENNAI,1,11,CHENNAI NORTH,4,98582,CUST AC DEBITED - ATM CASH NOT DISBURSED,625,
775,WALAJAPET                               ,CHENNAI,1,11,CHENNAI NORTH,4,3199844,ATM EXCESS CASH ACCOUNT,60900,
775,WALAJAPET                               ,CHENNAI,1,11,CHENNAI NORTH,4,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,226470,
775,WALAJAPET                               ,CHENNAI,1,11,CHENNAI NORTH,4,98751,SUNDRY DEPOSITS-OTHERS,107365.5,
775,WALAJAPET                               ,CHENNAI,1,11,CHENNAI NORTH,4,2399776,INTER BRANCH TRANSFER DEBIT (NDTL),-26918.64,
776,TIRUCHENDUR                             ,CHENNAI,2,21,MADURAI,2,3199844,ATM EXCESS CASH ACCOUNT,125100,
776,TIRUCHENDUR                             ,CHENNAI,2,21,MADURAI,2,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,258445,
776,TIRUCHENDUR                             ,CHENNAI,2,21,MADURAI,2,98746,SD - EXCESS CASH,4000,
776,TIRUCHENDUR                             ,CHENNAI,2,21,MADURAI,2,98751,SUNDRY DEPOSITS-OTHERS,17576,
776,TIRUCHENDUR                             ,CHENNAI,2,21,MADURAI,2,98728,SUSPENSE - ADHOC PAYMENTS,-8000,
776,TIRUCHENDUR                             ,CHENNAI,2,21,MADURAI,2,4597997,INB MISCELLANEOUS CREDIT IMPS,2783,
776,TIRUCHENDUR                             ,CHENNAI,2,21,MADURAI,2,3199932,AGENCY CLG DRAFT PAYABLE AC-NEW,1450,
776,TIRUCHENDUR                             ,CHENNAI,2,21,MADURAI,2,98656,SUSP - SC CONTRA AC,300499,
776,TIRUCHENDUR                             ,CHENNAI,2,21,MADURAI,2,98655,SUSP - SC CONTRA AC,-300499,
776,TIRUCHENDUR                             ,CHENNAI,2,21,MADURAI,2,98602,INTER OFFICE INSTRUMENTS AC,196170930.5,
776,TIRUCHENDUR                             ,CHENNAI,2,21,MADURAI,2,3199492,INTER OFFICE INSTRUMENTS AC - NEW,15667601.4,
776,TIRUCHENDUR                             ,CHENNAI,2,21,MADURAI,2,98581,ATM CASH DISB-CUST AC NOT DEBITED,-22900,
777,TIRUTTANI                               ,CHENNAI,1,11,CHENNAI NORTH,5,98731,SUSPENSE - OTHERS,-48484.49,
777,TIRUTTANI                               ,CHENNAI,1,11,CHENNAI NORTH,5,4597998,INB MISCELLANEOUS DEBIT IMPS,-14940,
777,TIRUTTANI                               ,CHENNAI,1,11,CHENNAI NORTH,5,98602,INTER OFFICE INSTRUMENTS AC,101402847.2,
777,TIRUTTANI                               ,CHENNAI,1,11,CHENNAI NORTH,5,3199492,INTER OFFICE INSTRUMENTS AC - NEW,4772033.72,
777,TIRUTTANI                               ,CHENNAI,1,11,CHENNAI NORTH,5,98581,ATM CASH DISB-CUST AC NOT DEBITED,-19606.38,
777,TIRUTTANI                               ,CHENNAI,1,11,CHENNAI NORTH,5,3199844,ATM EXCESS CASH ACCOUNT,134800,
777,TIRUTTANI                               ,CHENNAI,1,11,CHENNAI NORTH,5,98751,SUNDRY DEPOSITS-OTHERS,1103956,
777,TIRUTTANI                               ,CHENNAI,1,11,CHENNAI NORTH,5,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,219900,
786,AGRI COMM BRANCH MUDUKULATHUR           ,CHENNAI,2,22,TRICHY,3,98731,SUSPENSE - OTHERS,-24776,
786,AGRI COMM BRANCH MUDUKULATHUR           ,CHENNAI,2,22,TRICHY,3,98728,SUSPENSE - ADHOC PAYMENTS,-2000,
786,AGRI COMM BRANCH MUDUKULATHUR           ,CHENNAI,2,22,TRICHY,3,98656,SUSP - SC CONTRA AC,1124941,
786,AGRI COMM BRANCH MUDUKULATHUR           ,CHENNAI,2,22,TRICHY,3,98655,SUSP - SC CONTRA AC,-1124941,
786,AGRI COMM BRANCH MUDUKULATHUR           ,CHENNAI,2,22,TRICHY,3,98602,INTER OFFICE INSTRUMENTS AC,-264890322,
786,AGRI COMM BRANCH MUDUKULATHUR           ,CHENNAI,2,22,TRICHY,3,3199492,INTER OFFICE INSTRUMENTS AC - NEW,7058735.34,
786,AGRI COMM BRANCH MUDUKULATHUR           ,CHENNAI,2,22,TRICHY,3,98581,ATM CASH DISB-CUST AC NOT DEBITED,-35011.8,
786,AGRI COMM BRANCH MUDUKULATHUR           ,CHENNAI,2,22,TRICHY,3,3199844,ATM EXCESS CASH ACCOUNT,75429.2,
786,AGRI COMM BRANCH MUDUKULATHUR           ,CHENNAI,2,22,TRICHY,3,4599271,CASH POINT EXCESS CASH HELD ACCOUNT,74900,
786,AGRI COMM BRANCH MUDUKULATHUR           ,CHENNAI,2,22,TRICHY,3,98751,SUNDRY DEPOSITS-OTHERS,885399,
787,AGRI COMM BRANCH TIRUPATTUR             ,CHENNAI,2,22,TRICHY,3,98728,SUSPENSE - ADHOC PAYMENTS,-9500,
787,AGRI COMM BRANCH TIRUPATTUR             ,CHENNAI,2,22,TRICHY,3,98731,SUSPENSE - OTHERS,-4500,
787,AGRI COMM BRANCH TIRUPATTUR             ,CHENNAI,2,22,TRICHY,3,4597997,INB MISCELLANEOUS CREDIT IMPS,899.1,
787,AGRI COMM BRANCH TIRUPATTUR             ,CHENNAI,2,22,TRICHY,3,98656,SUSP - SC CONTRA AC,1236949,
